time,bid_price,bid_quantity,ask_price,ask_quantity
2022-01-22T16:42:07.35,35178.35,0.01704,35178.36,0.06705
2022-01-22T16:42:08.323,35178.35,0.18766,35178.36,0.06681
2022-01-22T16:42:09.318,35178.35,0.43184,35178.36,0.07652
2022-01-22T16:42:10.318,35173.01,0.00032,35173.02,0.64353
2022-01-22T16:42:11.735,35173.0,0.07144,35173.02,0.14264
2022-01-22T16:42:12.367,35177.61,0.13342,35177.62,0.38115
2022-01-22T16:42:13.318,35169.47,0.18668,35169.48,0.22058
2022-01-22T16:42:14.318,35173.9,0.07451,35173.91,0.16911
2022-01-22T16:42:15.318,35164.73,0.07451,35164.74,0.16287
2022-01-22T16:42:16.319,35165.27,0.26346,35165.28,0.17714
2022-01-22T16:42:17.318,35165.27,0.11968,35165.28,0.17628
2022-01-22T16:42:18.319,35172.8,0.07489,35172.81,0.38965
2022-01-22T16:42:19.319,35178.35,1.80811,35178.36,0.01415
2022-01-22T16:42:20.319,35179.21,0.00456,35180.6,0.031
2022-01-22T16:42:21.319,35165.27,0.29647,35165.28,0.43068
2022-01-22T16:42:22.32,35171.17,0.13137,35171.18,0.36012
2022-01-22T16:42:23.319,35171.17,0.10761,35171.18,0.53038
2022-01-22T16:42:24.32,35171.17,0.33761,35171.18,0.06998
2022-01-22T16:42:25.32,35166.3,0.15164,35166.31,0.81551
2022-01-22T16:42:26.32,35158.0,0.00162,35158.01,0.44235
2022-01-22T16:42:27.32,35155.0,0.39155,35155.01,0.64538
2022-01-22T16:42:28.32,35155.0,0.42697,35155.01,0.18486
2022-01-22T16:42:29.32,35155.0,0.3901,35155.01,0.33871
2022-01-22T16:42:30.32,35150.17,0.00085,35150.18,0.57956
2022-01-22T16:42:31.32,35150.17,2.0e-5,35150.18,0.34132
2022-01-22T16:42:32.32,35150.23,0.01148,35150.24,0.31243
2022-01-22T16:42:33.321,35150.36,0.0614,35152.48,0.16283
2022-01-22T16:42:34.321,35159.99,0.75075,35160.0,0.03
2022-01-22T16:42:35.32,35168.77,0.08343,35168.79,0.04266
2022-01-22T16:42:36.321,35165.38,0.05426,35165.39,0.19424
2022-01-22T16:42:37.32,35170.68,0.09108,35170.69,0.13952
2022-01-22T16:42:38.32,35175.63,0.41013,35175.64,0.06141
2022-01-22T16:42:39.32,35181.6,0.18234,35181.61,0.17793
2022-01-22T16:42:40.321,35176.16,0.05176,35181.16,0.155
2022-01-22T16:42:41.321,35177.63,0.16899,35177.64,0.05462
2022-01-22T16:42:42.321,35176.88,0.13548,35176.89,0.03107
2022-01-22T16:42:43.321,35176.88,0.29066,35176.89,0.16867
2022-01-22T16:42:44.321,35176.88,0.38084,35176.89,0.15942
2022-01-22T16:42:45.322,35176.88,0.08017,35176.89,0.10246
2022-01-22T16:42:46.321,35181.46,0.10816,35181.47,0.3337
2022-01-22T16:42:47.322,35177.43,0.07192,35177.44,0.3534
2022-01-22T16:42:48.323,35169.26,2.0e-5,35169.27,1.15799
2022-01-22T16:42:49.321,35177.42,0.10551,35177.43,0.14788
2022-01-22T16:42:50.322,35188.95,0.48093,35189.71,0.05378
2022-01-22T16:42:51.322,35192.48,0.32472,35192.81,0.2
2022-01-22T16:42:52.322,35190.56,0.09775,35190.57,0.01168
